Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
S-3304,1,1:Synthetic Small Molecule,1,Single Stereoisomer,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,[C][C][=C][C][=C][Branch2][Ring2][N][C][#C][C][=C][C][=C][Branch2][Ring1][#C][S][=Branch1][C][=O][=Branch1][C][=O][N][C@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O][S][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][#C]
NERAMEXANE,3,1:Synthetic Small Molecule,1,Achiral Molecule,CC1(C)CC(C)(C)CC(C)(N)C1,[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][N][C][Ring1][O]
LEVOSULPIRIDE,2,1:Synthetic Small Molecule,1,Single Stereoisomer,CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,[C][C][N][C][C][C][C@H1][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][C][=C][Ring1][#Branch2][O][C]
ELCUBRAGISTAT,2,1:Synthetic Small Molecule,0,Achiral Molecule,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2ccc(C(F)(F)F)cc2N2CCCC2)CC1,[O][=C][Branch2][Ring1][Branch1][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F][N][C][C][N][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][N][C][C][C][C][Ring1][Branch1][C][C][Ring2][Ring1][=Branch1]
BROMHEXINE,4,1:Synthetic Small Molecule,1,Achiral Molecule,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,[C][N][Branch1][P][C][C][=C][C][Branch1][C][Br][=C][C][Branch1][C][Br][=C][Ring1][Branch2][N][C][C][C][C][C][C][Ring1][=Branch1]
CPI 613,3,1:Synthetic Small Molecule,0,Racemic Mixture,O=C(O)CCCCC(CCSCc1ccccc1)SCc1ccccc1,[O][=C][Branch1][C][O][C][C][C][C][C][Branch1][=N][C][C][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
DICUMAROL,4,1:Synthetic Small Molecule,1,Achiral Molecule,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,[O][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=C][Ring1][O][C][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Ring1][O][=O]
OMARIGLIPTIN,3,1:Synthetic Small Molecule,1,Single Stereoisomer,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=Branch1][Ring2][=N][Ring1][Branch1][C][N][Branch2][Ring1][#Branch2][C@H1][C][O][C@H1][Branch1][=N][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][F][C@@H1][Branch1][C][N][C][Ring1][#C][C][Ring2][Ring1][Branch1]
ITOPRIDE,3,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch2][O][C][C][N][Branch1][C][C][C][C][=C][Ring1][N][C][=C][Ring2][Ring1][=Branch1][O][C]
PF-232798,2,1:Synthetic Small Molecule,0,Single Stereoisomer,CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)C)C3)C2)c1cccc(F)c1,[C][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring2][=C][C][C][N][C@@H1][C][C][C@H1][Ring1][Branch1][C][C@@H1][Branch2][Ring1][N][N][C][Branch1][C][C][=N][C][=C][Ring1][=Branch1][C][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][C][C][C][Ring1][O][C][Ring2][Ring1][=Branch1][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1]
