Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
PENTOSALEN,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,[C][C][Branch1][C][C][=C][C][O][C][=C][O][C][=C][C][Ring1][Branch1][=C][C][C][=C][C][=Branch1][C][=O][O][C][Ring1][=C][=Ring1][#Branch1]
PIRAGLIATIN,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][N][C@@H1][Branch1][N][C][C@H1][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][N][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch1][Cl]
ATIPAMEZOLE,1,1:Synthetic Small Molecule,1,Achiral Molecule,CCC1(c2c[nH]cn2)Cc2ccccc2C1,[C][C][C][Branch1][Branch2][C][=C][NH1][C][=N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C]
DOXYCYCLINE ANHYDROUS,4,1:Synthetic Small Molecule,0,Single Stereoisomer,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,[C][C@H1][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C@][Branch1][C][O][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Branch1][C][O][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@@H1][Ring1][#C][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Branch1][Ring2][Ring1][#C]
VERDINEXOR,1,1:Synthetic Small Molecule,1,Achiral Molecule,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1ccccn1,[O][=C][Branch2][Ring2][#Branch2][/C][=C][\N][C][=N][C][Branch2][Ring1][=N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C][=N][Ring2][Ring1][Ring1][N][N][C][=C][C][=C][C][=N][Ring1][=Branch1]
LAURYL ISOQUINOLINIUM,-1,1:Synthetic Small Molecule,0,Achiral Molecule,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,[C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]
HALOPROGESTERONE,-1,1:Synthetic Small Molecule,0,Single Stereoisomer,CC(=O)[C@@]1(Br)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,[C][C][=Branch1][C][=O][C@@][Branch1][C][Br][C][C][C@H1][C@@H1][C][C@H1][Branch1][C][F][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C][C][C@@][Ring1][P][Ring2][Ring1][Branch1][C]
MANOZODIL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CNCC1CCc2sc(C)nc2C1,[C][N][C][C][C][C][C][S][C][Branch1][C][C][=N][C][=Ring1][=Branch1][C][Ring1][#Branch2]
AMARANTH,-1,1:Synthetic Small Molecule,0,Achiral Molecule,O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,[O][=S][=Branch1][C][=O][Branch1][C][O][C][=C][C][=C][C][Branch2][Ring1][O][/N][=N][/C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][=C][Branch1][C][O][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][C][Ring2][Ring1][O][=C][Ring2][Ring1][#C]
METAMFAZONE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1cc(N)c(=O)n(-c2ccccc2)n1,[C][C][C][=C][Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=C]
FLUOROETHYLCHOLINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,C[N+](C)(C)CCOCCF,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O][C][C][F]
EX-527,2,1:Synthetic Small Molecule,1,Unknown,NC(=O)C1CCCC2c3cc(Cl)ccc3NC12,[N][C][=Branch1][C][=O][C][C][C][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][N][C][Ring1][=C][Ring1][#Branch2]
TOLCICLATE,-1,1:Synthetic Small Molecule,0,Racemic Mixture,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,[C][C][=C][C][=C][C][Branch2][Ring1][=N][N][Branch1][C][C][C][=Branch1][C][=S][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][Ring1][Branch1][=C][Ring2][Ring1][=Branch1]
CLOVOXAMINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,COCCCC/C(=N/OCCN)c1ccc(Cl)cc1,[C][O][C][C][C][C][/C][=Branch1][=Branch1][=N][/O][C][C][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
AMITEROL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CCC(C)NCC(O)c1ccc(N)cc1,[C][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
FUMOXICILLIN,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[C][C][Branch1][C][C][S][C@@H1][C@H1][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][/N][=C][/C][=C][C][=C][O][Ring1][Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch1][C@H1][Ring2][Ring1][O][C][=Branch1][C][=O][O]
DISULERGINE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,[C][N][C][C@@H1][Branch1][=C][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][C@@H1][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][Ring2][Ring1][#Branch1]
ANCREMONAM,-1,1:Synthetic Small Molecule,0,Single Stereoisomer,Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CN2CCOC2=O)cs1,[N][C][=N][C][Branch2][Branch1][Ring1][/C][=Branch1][#C][=N][/O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C][=Branch1][C][=O][N][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C@@H1][Ring1][=Branch2][C][N][C][C][O][C][Ring1][Branch1][=O][=C][S][Ring2][Ring1][P]
CYCLOMENOL,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1cc(C)c(C2CCCCC2)c(O)c1,[C][C][=C][C][Branch1][C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C][O][=C][Ring1][=C]
SUBATHIZONE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CCS(=O)(=O)c1ccc(/C=N/NC(N)=S)cc1,[C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][/C][=N][/N][C][Branch1][C][N][=S][C][=C][Ring1][N]
PRIFINIUM,-1,1:Synthetic Small Molecule,0,Racemic Mixture,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,[C][C][N+1][Branch1][Ring1][C][C][C][C][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring2][C]
CETRAXATE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,[N][C][C@H1][C][C][C@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=C][Ring1][O][C][C][Ring2][Ring1][Ring2]
PIRQUINOZOL,-1,1:Synthetic Small Molecule,1,Achiral Molecule,O=c1[nH]c2ccccc2c2cc(CO)nn12,[O][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][Ring1][C][O][=N][N][Ring1][#C][Ring1][#Branch1]
IDROPRANOLOL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CC(C)NCC(O)COc1cccc2c1C=CCC2,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][C][Ring1][=Branch1]
FORMINITRAZOLE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,O=CNc1ncc([N+](=O)[O-])s1,[O][=C][N][C][=N][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][S][Ring1][Branch2]
KETOCAINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CCCC(=O)c1ccccc1OCCN(C(C)C)C(C)C,[C][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C]
CLOPROTHIAZOLE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1ncsc1CCCCl,[C][C][N][=C][S][C][=Ring1][Branch1][C][C][C][Cl]
FLUPROFEN,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CC(C(=O)O)c1ccc(-c2cccc(F)c2)cc1,[C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][=C][Ring1][=N]
ZAPIZOLAM,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Clc1ccc2c(n1)C(c1ccccc1Cl)=NCc1nncn1-2,[Cl][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=N][C][C][=N][N][=C][N][Ring1][Branch1][Ring2][Ring1][C]
CINEPAZIC ACID,-1,1:Synthetic Small Molecule,1,Achiral Molecule,COc1cc(/C=C/C(=O)N2CCN(CC(=O)O)CC2)cc(OC)c1OC,[C][O][C][=C][C][Branch2][Ring1][#Branch1][/C][=C][/C][=Branch1][C][=O][N][C][C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][Ring1][#Branch2][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][=Branch1][O][C]
DIAPLASININ,-1,1:Synthetic Small Molecule,0,Achiral Molecule,CCCCCc1c(-c2ccc3cc(OCc4nnn[nH]4)ccc3c2)n(Cc2ccccc2)c2ccccc12,[C][C][C][C][C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][C][=C][Branch1][#Branch2][O][C][C][=N][N][=N][NH1][Ring1][Branch1][C][=C][C][Ring1][=N][=C][Ring1][P][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][P][Ring1][=Branch1]
DOCONAZOLE,-1,1:Synthetic Small Molecule,0,Racemic Mixture,Clc1ccc(C2(Cn3ccnc3)OCC(COc3ccc(-c4ccccc4)cc3)O2)c(Cl)c1,[Cl][C][=C][C][=C][Branch2][Ring2][#Branch2][C][Branch1][=Branch2][C][N][C][=C][N][=C][Ring1][Branch1][O][C][C][Branch2][Ring1][Branch1][C][O][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][O][Ring2][Ring1][=Branch2][C][Branch1][C][Cl][=C][Ring2][Ring1][S]
DICLAZURIL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,[N][#C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Branch1][C][Cl][C][=C][Branch1][=N][N][N][=C][C][=Branch1][C][=O][NH1][C][Ring1][#Branch1][=O][C][=C][Ring1][#C][Cl]
SEMBRAGILINE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1,[C][C][=Branch1][C][=O][N][C@H1][C][C][=Branch1][C][=O][N][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][=C][O][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][=C][Ring1][#C][C][Ring2][Ring1][Branch1]
RAZOXANE,4,1:Synthetic Small Molecule,1,Racemic Mixture,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,[C][C][Branch1][S][C][N][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][N][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2]
DEXEFAROXAN,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CC[C@]1(C2=NCCN2)Cc2ccccc2O1,[C][C][C@][Branch1][Branch2][C][=N][C][C][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=C]
CIRAZOLINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,c1ccc(C2CC2)c(OCC2=NCCN2)c1,[C][=C][C][=C][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][Branch1][#Branch2][O][C][C][=N][C][C][N][Ring1][Branch1][=C][Ring1][S]
SANCYCLINE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,[C][N][Branch1][C][C][C@@H1][C][Branch1][C][O][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=Branch1][C][=O][C@@][Branch1][C][O][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][C@H1][Ring1][N][C][C@@H1][Ring2][Ring1][O][Ring2][Ring1][C]
BEFURALINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,O=C(c1cc2ccccc2o1)N1CCN(Cc2ccccc2)CC1,[O][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2][N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N]
BI 639667,1,1:Synthetic Small Molecule,1,Unknown,CS(=O)(=O)c1cc(C2(NC(=O)c3cncc4c3cnn4-c3ccc(F)cc3)CC2)ccn1,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=N][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][=Branch1][=C][C][=N][Ring2][Ring1][N]
QUININE ETHYLCARBONATE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12,[C][=C][C@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][C@H1][Ring1][=Branch1][C@H1][Branch1][=Branch2][O][C][=Branch1][C][=O][O][C][C][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2]
ALFATRADIOL,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C@H1][Ring2][Ring1][C][O]
DISOBUTAMIDE,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CC(C)N(CCC(CCN1CCCCC1)(C(N)=O)c1ccccc1Cl)C(C)C,[C][C][Branch1][C][C][N][Branch2][Ring1][S][C][C][C][Branch1][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][C][C]
LOMERIZINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,[C][O][C][=C][C][=C][Branch2][Ring2][#Branch1][C][N][C][C][N][Branch2][Ring1][#Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Branch1][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][=C][O][C]
BEFETUPITANT,-1,1:Synthetic Small Molecule,0,Achiral Molecule,Cc1ccccc1-c1cc(N2CCOCC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=N][C][=C][Ring1][N][N][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C]
LUTEOLIN,2,1:Synthetic Small Molecule,1,Achiral Molecule,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,[O][=C][C][=C][Branch1][#C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring2][Ring1][Ring2][Ring1][Branch2]
FANAPANEL,1,1:Synthetic Small Molecule,1,Achiral Molecule,O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O,[O][=C][NH1][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][S][N][Branch1][#Branch2][C][P][=Branch1][C][=O][Branch1][C][O][O][C][Ring2][Ring1][=Branch2][=O]
HARMINE,0.5,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc2c(c1)[nH]c1c(C)nccc12,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][NH1][C][=C][Branch1][C][C][N][=C][C][=C][Ring1][#Branch1][Ring1][O]
ELTOPRAZINE,2,1:Synthetic Small Molecule,1,Achiral Molecule,c1cc2c(c(N3CCNCC3)c1)OCCO2,[C][=C][C][=C][Branch1][#C][C][Branch1][=Branch2][N][C][C][N][C][C][Ring1][=Branch1][=C][Ring1][N][O][C][C][O][Ring1][=C]
COMBRETASTATIN A4,-1,1:Synthetic Small Molecule,1,Achiral Molecule,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,[C][O][C][=C][C][=C][Branch2][Ring1][#Branch1][/C][=C][\C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][O]
ENEFEXINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CCc1ccc(C2CCNCC2)cc1,[C][C][C][=C][C][=C][Branch1][=Branch2][C][C][C][N][C][C][Ring1][=Branch1][C][=C][Ring1][N]
ZOMETAPINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1nn(C)c2c1C(c1cccc(Cl)c1)=NCCN2,[C][C][=N][N][Branch1][C][C][C][=C][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=N][C][C][N][Ring1][=C]
LIFIBROL,3,1:Synthetic Small Molecule,1,Racemic Mixture,CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][Branch1]
LEVONORDEFRIN,4,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,[C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2]
S-ETOMIDATE,-1,1:Synthetic Small Molecule,1,Unknown,CCOC(=O)c1cncn1[C@@H](C)c1ccccc1,[C][C][O][C][=Branch1][C][=O][C][=C][N][=C][N][Ring1][Branch1][C@@H1][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
FASIPLON,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,[C][C][C][C][Branch1][Ring1][O][C][=N][C][=N][C][Branch1][O][C][=N][O][C][Branch1][C][C][=N][Ring1][=Branch1][=C][N][Ring1][O][C][=Ring1][P][C]
STILONIUM,-1,1:Synthetic Small Molecule,0,Achiral Molecule,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,[C][C][N+1][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C][C][O][C][=C][C][=C][Branch1][O][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C]
AZD-4316,1,1:Synthetic Small Molecule,1,Achiral Molecule,CC(C)CCn1c(CN2C(=O)N(C3CC3)Cc3ccccc32)nc2cc(CN)ccc21,[C][C][Branch1][C][C][C][C][N][C][Branch2][Ring1][#Branch2][C][N][C][=Branch1][C][=O][N][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=C][=N][C][=C][C][Branch1][Ring1][C][N][=C][C][=C][Ring1][Branch2][Ring2][Ring1][#Branch2]
ZURLETRECTINIB,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@H]1CNC(=O)Nc2cnn3ccc(nc23)N2C[C@@H](F)C[C@@H]2c2cc(F)cnc2O1,[C][C@H1][C][N][C][=Branch1][C][=O][N][C][C][=N][N][C][=C][C][=Branch1][#Branch1][=N][C][=Ring1][=Branch2][Ring1][=Branch1][N][C][C@@H1][Branch1][C][F][C][C@@H1][Ring1][=Branch1][C][=C][C][Branch1][C][F][=C][N][=C][Ring1][#Branch1][O][Ring2][Ring1][=N]
HELIOMYCIN,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,[C][C][=C][C][Branch1][C][O][=C][C][=C][C][=Branch1][O][=C][C][Branch1][C][O][=C][Ring1][N][Ring1][#Branch1][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=Branch1][#Branch1][=C][Ring1][Branch2][Ring2][Ring1][Ring1][C][Ring2][Ring1][=Branch1][=O]
CORTODOXONE,2,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,[C][C@][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@@H1][C@@H1][Ring1][O][C][C][C@@][Branch1][C][C][C@H1][Ring1][#Branch1][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O]
CYCLOMETHYCAINE,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CC1CCCCN1CCCOC(=O)c1ccc(OC2CCCCC2)cc1,[C][C][C][C][C][C][N][Ring1][=Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch2][O][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][=N]
SULOFENUR,-1,1:Synthetic Small Molecule,1,Achiral Molecule,O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2,[O][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][Ring1][=Branch1]
IOPANOIC ACID,4,1:Synthetic Small Molecule,0,Racemic Mixture,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,[C][C][C][Branch2][Ring1][Ring2][C][C][=C][Branch1][C][I][C][=C][Branch1][C][I][C][Branch1][C][N][=C][Ring1][=Branch2][I][C][=Branch1][C][=O][O]
TRIGEVOLOL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,COCCOc1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,[C][O][C][C][O][C][=C][C][=C][Branch2][Ring1][=C][O][C][C][Branch1][C][O][C][N][C][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][=Branch2]
DIFLOXACIN,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,[C][N][C][C][N][Branch2][Ring2][#Branch1][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring1][=N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][N]
